Model,Stripe,Threshold,MCC,Coefs,Median Threshold,Median MCC
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'ImpE2__6')",1+2,0.77,0.47120695108376315,[[0.71918377 6.15223688 0.5281402  0.64154882]],0.79,0.467984801964751
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'ImpE2__6')",4+6+7,0.7,0.1523379631072828,[[ 1.72023505 -0.77968394  0.60813209 -9.95572118]],0.7,0.1523379631072828
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'ImpL2__6')",3,0.7,0.15838678701948297,[[-0.23674314  6.72780452  0.26693112 -1.75740994]],0.7,0.15838678701948297
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'ImpL2__6')",5,0.7,0.15020150466583332,[[-0.51775237  0.02871303 -4.91901192 -6.44370714]],0.7,0.15020150466583332
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'ImpL2__6')",1+2,0.83,0.440170538351726,[[2.12715115 5.45923632 1.23179253 3.8083582 ]],0.79,0.4259262904255208
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'ImpL2__6')",4+6+7,0.7,0.1890246397763971,[[ 1.1656844  -0.1525077   0.28715028 -3.18583631]],0.7,0.1890246397763971
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'MESR3__6')",3,0.7,0.16505936391282308,[[ 0.04716439  6.07349048  0.4058895  -1.26431394]],0.7,0.16505936391282308
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'MESR3__6')",5,0.7,0.16574853676383364,[[-0.17499148 -1.09281864 -5.28862515 -1.2435901 ]],0.7,0.16574853676383364
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'MESR3__6')",1+2,0.78,0.46896383511365963,[[1.24344621 6.50041954 0.58739338 1.8282475 ]],0.79,0.467984801964751
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'MESR3__6')",4+6+7,0.71,0.1573984984591572,[[ 1.76338948 -0.81230265  0.50746937 -0.2197673 ]],0.7,0.15519495938441805
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Mdr49__6')",3,0.7,0.15334644983762039,[[ 1.41540668  6.69179486  0.07247044 -4.74283422]],0.7,0.15334644983762039
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Mdr49__6')",5,0.71,0.1547154300538797,[[ 1.31813352 -0.73957483 -5.73162938 -4.07970247]],0.7,0.14523678927425823
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Mdr49__6')",1+2,0.8,0.4765040575132708,[[ 0.93451638  6.0565016   0.44814805 -0.8735702 ]],0.79,0.4760356235627996
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Mdr49__6')",4+6+7,0.72,0.2584780670199039,[[ 3.25976389 -0.41109033 -0.09381082 -6.519273  ]],0.7,0.25430409712573965
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Mes2__6')",3,0.7,0.17296783189995638,[[ 2.17604439  7.55382688  0.32346089 -3.4909852 ]],0.7,0.17296783189995638
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Mes2__6')",5,0.73,0.1955489112630082,[[ 2.6552016  -0.22190237 -6.38348852 -5.12557464]],0.7,0.18848714154136997
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Mes2__6')",1+2,0.77,0.47541170603327587,[[ 0.83336238  6.08028563  0.51316373 -0.19811213]],0.79,0.47402291816328745
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Mes2__6')",4+6+7,0.74,0.1921202526878201,[[ 3.91518249 -0.52160901  0.18136101 -4.08182728]],0.7,0.18385262169402095
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Nek2__6')",3,0.7,0.3352993482096677,[[ -3.50213468   3.51613559   1.27637277 -14.02921466]],0.7,0.3352993482096677
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Nek2__6')",5,0.71,0.15324355156012814,[[ 0.54129544 -0.9539394  -5.17811163  0.87388426]],0.7,0.1490700120807753
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Nek2__6')",1+2,0.82,0.47575476098104535,[[1.50732885 6.77379947 0.33006448 1.77995263]],0.79,0.4665143748495783
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Nek2__6')",4+6+7,0.7,0.19143122702872528,[[ 2.46309613 -0.46473632  0.14228982  1.66055401]],0.7,0.19143122702872528
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'NetA__6')",3,0.7,0.19655374932131153,[[ 2.83840507  8.27867845  0.24782182 -4.22983586]],0.7,0.19655374932131153
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'NetA__6')",5,0.7,0.16054971269518276,[[ 2.09178914 -0.34783895 -5.91208804 -3.05191086]],0.7,0.16054971269518276
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'NetA__6')",1+2,0.76,0.46929852738288796,[[0.50236736 6.14443579 0.58796332 0.31460439]],0.79,0.46722546255634767
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'NetA__6')",4+6+7,0.71,0.20986142427135615,[[ 3.302105   -0.33910695  0.24756457 -2.52883211]],0.7,0.20559384698628336
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Traf1__6')",3,0.7,0.18740171289198382,[[ 1.13326866  7.00488682 -0.32394138 -5.84179848]],0.7,0.18740171289198382
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Traf1__6')",5,0.73,0.16683530854934497,[[ 0.43096773 -0.96849934 -6.48612721 -3.19381115]],0.7,0.16170052213778702
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Traf1__6')",1+2,0.75,0.47401249626984354,[[0.61888164 6.11118781 0.67568523 0.48839839]],0.79,0.4710470378137224
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Traf1__6')",4+6+7,0.7,0.16643634136633048,[[ 1.81195837 -0.80458308  0.48509995 -0.17683038]],0.7,0.16643634136633048
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'aay__6')",3,0.7,0.2940444577016019,[[ -0.67651429   8.24232371  -1.43748468 -13.0638698 ]],0.7,0.2940444577016019
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'aay__6')",5,0.71,0.17078415345642406,[[-0.30296837 -1.1584912  -6.43769793 -3.05080802]],0.7,0.1684432085803289
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'aay__6')",1+2,0.77,0.4741751259627249,[[ 0.69416633  6.09756608  0.53401014 -0.01797939]],0.79,0.4707615653663328
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'aay__6')",4+6+7,0.71,0.15498510652369013,[[ 1.74833644 -0.78578647  0.43157085 -0.3336527 ]],0.7,0.14985366149678275
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'apt__6')",3,0.7,0.16705048137182346,[[-0.94959316  5.25117782  0.16508329 -8.83149468]],0.7,0.16705048137182346
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'apt__6')",5,0.7,0.31711658195626585,[[ -2.0161013   -3.12551164  -6.59370622 -17.36976692]],0.7,0.31711658195626585
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'apt__6')",1+2,0.8,0.47547419435039445,[[ 0.08720106  5.54936618  0.50417834 -2.58987054]],0.79,0.4700879836039876
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'apt__6')",4+6+7,0.7,0.07501157939080744,[[ 1.26311814 -1.37139846  0.63838499 -2.31058517]],0.7,0.07501157939080744
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'bmm__6')",3,0.7,0.2309645940187792,[[-0.56202492  6.3413712   1.2887216  -9.57372273]],0.7,0.2309645940187792
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'bmm__6')",5,0.7,0.21746650275000426,[[ -0.87445603  -0.6861589   -5.52731878 -12.45339068]],0.7,0.21746650275000426
