CG10924__3,CG17786__3,CG4702__3,Cyp310a1__3,D__3,Dfd__3,Doc2__3,Traf1__3,brk__3,bun__3,cad__3,cnc__3,croc__3,emc__3,eve__3,fj__3,fkh__3,ftz__3,h__3,hkb__3,kni__3,knrl__3,oc__3,odd__3,path__3,prd__3,rho__3,sala__3,slp1__3,slp2__3,sna__3,sob__3,srp__3,term__3,tll__3,trn__3,tsh__3,twi__3,zen__3,KrP__3,bcdP__3,gtP__3,hbP__3,stripe_1,stripe_2,stripe_3,stripe_4,stripe_5,stripe_6,stripe_7,all_stripes,stripe_3+7,stripe_4+6
0.144959,0.200213,0.080334,0.289231,0.029838999999999997,0.433942,0.149883,0.076394,0.218739,0.113749,0.055172000000000006,0.404461,0.616028,0.402074,0.021144,0.21751399999999999,0.45577399999999996,0.039992,0.10238799999999999,0.6643819999999999,0.957506,1.122288,0.055683,0.38821700000000003,0.625289,0.018178,0.039423,0.078979,0.292003,0.238215,0.303399,0.926328,0.27472199999999997,0.140095,0.028131,0.43948000000000004,0.110409,0.9563200000000001,0.112595,0.041781,0.996323,0.0804,0.522649,0,0,0,0,0,0,0,0,0,0
0.09637000000000001,0.216873,0.170453,0.268959,0.035622,0.400086,0.16096300000000002,0.11511700000000001,0.165907,0.103149,0.045954,0.579725,0.578816,0.309956,0.024267,0.23046399999999997,0.398884,0.047272,0.128115,0.691639,0.9066719999999999,0.9888170000000001,0.066351,0.308554,0.788254,0.056771,0.029737,0.150542,0.299718,0.287094,0.201999,0.672355,0.28784899999999997,0.180471,0.025787,0.37696599999999997,0.11021600000000001,0.9405379999999999,0.119549,0.044069,0.977834,0.09737699999999999,0.547374,0,0,0,0,0,0,0,0,0,0
0.064496,0.21385,0.056954,0.268959,0.039593,0.27234400000000003,0.16096300000000002,0.096719,0.166629,0.06578400000000001,0.037818,0.579725,0.605053,0.28260100000000005,0.022893,0.178357,0.374229,0.040994,0.11525,0.609067,0.892207,1.051898,0.084164,0.33126,0.557228,0.05925,0.033638,0.150542,0.344659,0.314298,0.26119499999999995,1.074978,0.28784899999999997,0.180471,0.028370999999999997,0.352944,0.104104,0.9374100000000001,0.119549,0.048349,1.000081,0.101341,0.552358,0,0,0,0,0,0,0,0,0,0
0.144959,0.200213,0.080217,0.289231,0.032344,0.43881400000000004,0.149883,0.05298099999999999,0.168407,0.113749,0.027437,0.294365,0.624825,0.300797,0.020664,0.21751399999999999,0.43393100000000007,0.041843,0.104101,0.696146,0.9264190000000001,1.150469,0.056129,0.402926,0.576047,0.019121,0.038199000000000004,0.131677,0.255575,0.288553,0.329897,0.926328,0.301678,0.140095,0.030033999999999998,0.417134,0.11657999999999999,0.991417,0.072514,0.0436,1.0037719999999999,0.077952,0.5321199999999999,0,0,0,0,0,0,0,0,0,0
0.064496,0.179892,0.09705599999999999,0.270974,0.032598,0.273649,0.15997,0.061719,0.218957,0.09068,0.070279,0.436276,0.6223069999999999,0.360147,0.022112,0.178357,0.399065,0.042698,0.12504200000000001,0.6220720000000001,0.9073950000000001,1.116277,0.064946,0.307094,0.560178,0.022802,0.029758999999999997,0.07016499999999999,0.263297,0.302578,0.254877,0.7280449999999999,0.216178,0.214209,0.035019,0.36403800000000003,0.101964,0.801929,0.1205,0.036927,1.024515,0.097622,0.579386,0,0,0,0,0,0,0,0,0,0
0.061091999999999994,0.153568,0.053225,0.49986099999999994,0.009436,0.311204,0.16785,0.091525,0.165408,0.070878,0.058889,0.27689,0.74022,0.263108,0.021292,0.273188,0.415166,0.038187,0.135546,0.6707489999999999,0.9149510000000001,1.081715,0.061456,0.390708,0.552971,0.036420999999999995,0.038084,0.131677,0.286477,0.202043,0.36542399999999997,0.721052,0.327021,0.198991,0.024915,0.5840920000000001,0.123259,0.962355,0.14760299999999998,0.048313999999999996,0.9778879999999999,0.09031,0.530516,0,0,0,0,0,0,0,0,0,0
0.151698,0.185611,0.09930499999999999,0.505272,0.008728,0.286682,0.160185,0.061301999999999995,0.14852200000000002,0.13079000000000002,0.08530900000000001,0.659903,0.582608,0.297062,0.02199,0.247994,0.35039000000000003,0.042679,0.11718900000000002,0.6958770000000001,0.9253709999999999,1.134024,0.06348,0.288742,0.55684,0.029855,0.039363999999999996,0.066862,0.22972800000000002,0.221281,0.23595700000000003,0.7280449999999999,0.182724,0.149529,0.044739999999999995,0.226791,0.12821,0.8188989999999999,0.122201,0.050151,0.994973,0.08933300000000001,0.584033,0,0,0,0,0,0,0,0,0,0
0.034972,0.19356700000000002,0.079983,0.289231,0.021006999999999998,0.25856399999999996,0.13039800000000001,0.103031,0.131024,0.072387,0.050593,0.32987,0.609096,0.22121,0.020793,0.22024899999999997,0.399227,0.032672,0.096169,0.679567,0.916219,1.095688,0.056129,0.39831700000000003,0.498622,0.034825,0.040633999999999997,0.058753999999999994,0.246923,0.257735,0.32037,0.594827,0.301678,0.18141300000000002,0.031925,0.518721,0.10641800000000001,0.973268,0.079894,0.035244,0.993713,0.070366,0.546558,0,0,0,0,0,0,0,0,0,0
0.12075,0.14568499999999998,0.053596000000000005,0.228756,0.039505,0.12136300000000001,0.165603,0.019625999999999998,0.116222,0.06022,0.029891,0.663632,0.5132,0.213644,0.025644,0.185298,0.250065,0.035438,0.14215999999999998,0.655638,0.931205,0.9671200000000001,0.057279,0.17766500000000002,0.614196,0.024804,0.025507,0.078677,0.210912,0.223483,0.190089,0.646889,0.16326,0.123676,0.045838,0.277039,0.10965,0.815632,0.13885899999999998,0.05936,0.9356780000000001,0.085016,0.611933,0,0,0,0,0,0,0,0,0,0
0.070793,0.139734,0.09930499999999999,0.505272,0.021172,0.20751799999999998,0.168184,0.052828999999999994,0.14852200000000002,0.13079000000000002,0.00719,0.589252,0.5429579999999999,0.23889200000000002,0.02174,0.201128,0.3521,0.033750999999999996,0.098409,0.7005560000000001,0.8395450000000001,1.065289,0.055291999999999994,0.345029,0.509359,0.016298,0.036965,0.066862,0.23420700000000003,0.180445,0.253818,0.757753,0.267226,0.149529,0.045021,0.330492,0.119875,0.8899969999999999,0.10860299999999999,0.060348,0.958073,0.073492,0.5709310000000001,0,0,0,0,0,0,0,0,0,0
